FORMNummer;KLE nummer
14.45.25.10;Ikke med i KLE
14.45.25.20;Ikke med i KLE
16;"19;20;21"
16.05;Ikke med i KLE
16.05.05;Ikke med i KLE
16.05.05.02;19.03.06
16.05.05.05;Ikke med i KLE
16.05.05.10;01.05.25
16.05.05.12;Ikke med i KLE
16.05.05.15;Ikke med i KLE
16.05.05.25;01.10.00
16.05.05.35;Ikke med i KLE
16.05.05.40;Ikke med i KLE
16.05.05.45;Ikke med i KLE
16.05.07;Ikke med i KLE
16.05.07.05;Ikke med i KLE
16.05.07.10;Ikke med i KLE
16.05.07.15;Ikke med i KLE
16.05.07.20;Ikke med i KLE
16.05.10;"20.10.00;20.11.00;20.15.00;20.20.00"
16.05.10.05;20.20.00
16.05.10.07;20.15.00
16.05.10.10;"20.11.00;20.11.02;20.11.04
"
16.05.10.15;"20.10.00;20.10.02;20.10.04"
16.05.15;"19.02.00;19.02.01;19.02.02;19.02.03;19.02.04;19.02.06;19.02.09;19.02.10;19.02.11;19.02.12;19.02.15;19.02.17;19.02.18;19.02.19"
16.05.15.05;19.02.00
16.05.15.15;19.02.00
16.05.15.20;Ikke med i KLE
16.05.15.25;Ikke med i KLE
16.05.20;21.00.00
16.05.20.05;"21.00.00;21.00.01;21.00.02;21.00.03;21.00.05;21.00.07;21.00.10;21.01.00;21.01.10;21.01.12;21.01.14;21.01.16;21.01.18;21.01.20;21.02.00;21.02.05;21.02.10;21.03.00;21.05.00;21.07.00;21.08.00;21.08.01;21.08.02;21.08.03;21.08.04;21.08.06;21.09.00;21.10.00;21.11.00;21.15.00;21.20.00"
16.05.20.10;21.00.15
16.05.20.15;Ikke med i KLE
16.05.20.20;Ikke med i KLE
16.05.20.22;Ikke med i KLE
16.05.20.24;Ikke med i KLE
16.05.20.27;21.03.00
16.05.20.35;Ikke med i KLE
16.05.23;Ikke med i KLE
